state,2024_accidents,2024_killed,population_2024,fatalities_per_100k_population,fatalities_per_100_accidents,expected_fatalities,fatality_residual
Andhra Pradesh,19557.0,8346,53340000,15.64679415073116,42.675256941248655,6675.978844661115,1670.0211553388854
Arunachal Pradesh,277.0,168,1576000,10.65989847715736,60.64981949458483,1136.9917197635818,-968.9917197635818
Assam,7848.0,3351,36047000,9.29619663217466,42.698776758409785,3312.0784169938324,38.921583006167566
Bihar,11610.0,9347,128592000,7.268725892746049,80.50818260120586,4392.87040682083,4954.12959317917
Chhattisgarh,14857.0,6945,30524000,22.75258812737518,46.74564178501716,5325.707087035679,1619.2929129643207
Goa,2682.0,286,1583000,18.0669614655717,10.663683818046234,1827.9286510591508,-1541.9286510591508
Gujarat,15588.0,7717,72367000,10.663700305387817,49.50603027970234,5535.717439125933,2181.282560874067
Haryana,9806.0,4689,30573000,15.337062113629672,47.81766265551703,3874.5958853833226,814.4041146166774
Himachal Pradesh,2156.0,869,7505000,11.578947368421051,40.30612244897959,1676.8131309504317,-807.8131309504317
Jharkhand,5196.0,4114,39963000,10.294522433250757,79.17628945342571,2550.180395457097,1563.819604542903
Karnataka,43062.0,12390,68115000,18.18982602950892,28.772467604848824,13428.774092104919,-1038.774092104919
Kerala,48834.0,3880,35920000,10.801781737193764,7.945284023426301,15087.022727214284,-11207.022727214284
Madhya Pradesh,56669.0,14791,87610000,16.88277593881977,26.100689971589404,17337.954476362218,-2546.954476362218
Maharashtra,36118.0,15715,127360000,12.339038944723615,43.5101611384905,11433.819393179168,4281.180606820832
Manipur,299.0,72,3253000,2.2133415308945588,24.08026755852843,1143.3121407567223,-1071.3121407567223
Meghalaya,269.0,197,3379000,5.830127256584788,73.23420074349443,1134.6933848569854,-937.6933848569854
Mizoram,118.0,110,1250000,8.799999999999999,93.22033898305084,1091.3123134949767,-981.3123134949767
Nagaland,129.0,62,2253000,2.751886373723924,48.06201550387597,1094.472523991547,-1032.472523991547
Odisha,12375.0,6142,44420000,13.827104907699232,49.63232323232323,4612.648682264119,1529.351317735881
Punjab,6063.0,4759,30926000,15.388346375218262,78.49249546429161,2799.262440959491,1959.737559040509
Rajasthan,24838.0,11790,81897000,14.396131726436863,47.46758998309043,8193.167174878121,3596.832825121879
Sikkim,149.0,67,695000,9.640287769784171,44.966442953020135,1100.2183612580382,-1033.2183612580382
Tamil Nadu,67526.0,18449,77089000,23.93207850666113,27.32132808103545,20457.082236476974,-2008.0822364769738
Telangana,25986.0,7949,38272000,20.769753344481607,30.58954821827138,8522.978233974718,-573.978233974718
Tripura,578.0,226,4184000,5.401529636711281,39.10034602076124,1223.4665706242747,-997.4665706242747
Uttarakhand,1747.0,1090,11755000,9.272649936197364,62.39267315397825,1559.3107588506864,-469.3107588506864
Uttar Pradesh,46052.0,24118,238078000,10.130293433244567,52.37123251976027,14287.776763445356,9830.223236554644
West Bengal,13702.0,6676,99563000,6.70530217048502,48.72281418770982,4993.884984895812,1682.1150151041884
Andaman & Nicobar Islands,135.0,29,404000,7.1782178217821775,21.48148148148148,1096.1962751714943,-1067.1962751714943
Chandigarh,169.0,75,1243000,6.033789219629928,44.37869822485207,1105.9641985245294,-1030.9641985245294
N.C.T of Delhi,5657.0,1551,21752000,7.130378815741081,27.417359024217784,2682.621944449719,-1131.6219444497192
Jammu & Kashmir,5808.0,831,13701000,6.065250711626889,14.307851239669422,2726.003015811728,-1895.003015811728
Ladakh,264.0,61,302000,20.198675496688743,23.10606060606061,1133.2569255403625,-1072.2569255403625
Lakshadweep,0.0,0,69000,0.0,,1057.4118736226785,-1057.4118736226785
Puducherry,1431.0,218,1683000,12.953060011883542,15.234102026554858,1468.5265300401252,-1250.5265300401252
