state,2024_accidents,2024_killed,population_2024,accident_residual,fatality_residual
Andhra Pradesh,19557.0,8346,53340000,2482.9456127071535,1831.605141257739
Arunachal Pradesh,277.0,168,1576000,-4198.5364430787795,-656.0557618429764
Assam,7848.0,3351,36047000,-5017.218694353858,-1262.4012337774338
Bihar,11610.0,9347,128592000,-23779.17053631528,-5439.734664782463
Chhattisgarh,14857.0,6945,30524000,3335.9899179229033,2938.733895504978
Goa,2682.0,286,1583000,-1795.240129532869,-538.8252613731188
Gujarat,15588.0,7717,72367000,-6116.917553287767,-889.0045101738106
Haryana,9806.0,4689,30573000,-1726.935887255724,677.3473987939806
Himachal Pradesh,2156.0,869,7505000,-3762.5588696927425,-606.8218638736514
Jharkhand,5196.0,4114,39963000,-8622.309573527458,-929.8812566399947
Karnataka,43062.0,12390,68115000,22391.95027568214,4251.41149013559
Kerala,48834.0,3880,35920000,35999.69104559891,-719.4403137305635
Madhya Pradesh,56669.0,14791,87610000,31254.183501042364,4509.355298688801
Maharashtra,36118.0,15715,127360000,1028.6782796045081,1063.697252522612
Manipur,299.0,72,3253000,-4584.691040722837,-936.4058635642518
Meghalaya,269.0,197,3379000,-4645.357396896451,-825.2568551068164
Mizoram,118.0,110,1250000,-4278.193331074031,-678.2190694391984
Nagaland,129.0,62,2253000,-4511.307261567167,-836.4773592581842
Odisha,12375.0,6142,44420000,-2528.0710772242765,608.1673996678619
Punjab,6063.0,4759,30926000,-5555.850361297675,708.5426367739387
Rajasthan,24838.0,11790,81897000,813.6350313587027,2136.376843789365
Sikkim,149.0,67,695000,-4112.115333642635,-660.2087495493308
Tamil Nadu,67526.0,18449,77089000,44671.82424153916,9323.913092492938
Telangana,25986.0,7949,38272000,12579.252397024778,3091.0078441415662
Tripura,578.0,226,4184000,-4532.281339116765,-884.7493010732007
Uttarakhand,1747.0,1090,11755000,-5205.939931104338,-853.0180071744389
Uttar Pradesh,46052.0,24118,238078000,-15984.286980952893,-2704.366887236585
West Bengal,13702.0,6676,99563000,-14621.982811205351,-4919.620113281626
Andaman & Nicobar Islands,135.0,29,404000,-4055.290653908335,-666.2195547962651
Chandigarh,169.0,75,1243000,-4225.489644619942,-712.4495699090559
Dadra & Nagar Haveli and Daman & Diu,152.0,95,1356000,-4269.992011664532,-704.8714908956415
N.C.T of Delhi,5657.0,1551,21752000,-3729.0475713235646,-1490.9732647221967
Jammu & Kashmir,5808.0,831,13701000,-1618.5647653412707,-1325.9388765540466
Ladakh,264.0,61,302000,-3901.4655084344568,-623.0068473570462
Lakshadweep,0.0,0,69000,-4108.757087891186,-658.3935058537324
Puducherry,1431.0,218,1683000,-3070.5785074484356,-617.8181118037256
