state,2024_accidents,population_2024,accidents_per_100k_population
Andhra Pradesh,19557.0,53340000,36.66479190101238
Arunachal Pradesh,277.0,1576000,17.576142131979694
Assam,7848.0,36047000,21.771575998002607
Bihar,11610.0,128592000,9.028555431131018
Chhattisgarh,14857.0,30524000,48.67317520639497
Goa,2682.0,1583000,169.42514213518635
Gujarat,15588.0,72367000,21.540204789475865
Haryana,9806.0,30573000,32.07405226834135
Himachal Pradesh,2156.0,7505000,28.72751499000666
Jharkhand,5196.0,39963000,13.002026874859245
Karnataka,43062.0,68115000,63.21955516406078
Kerala,48834.0,35920000,135.9521158129176
Madhya Pradesh,56669.0,87610000,64.68325533614885
Maharashtra,36118.0,127360000,28.358982412060303
Manipur,299.0,3253000,9.191515524131571
Meghalaya,269.0,3379000,7.960935187925421
Mizoram,118.0,1250000,9.440000000000001
Nagaland,129.0,2253000,5.725699067909454
Odisha,12375.0,44420000,27.85907248986943
Punjab,6063.0,30926000,19.604863221884496
Rajasthan,24838.0,81897000,30.32833925540618
Sikkim,149.0,695000,21.438848920863308
Tamil Nadu,67526.0,77089000,87.59485789152798
Telangana,25986.0,38272000,67.89820234113712
Tripura,578.0,4184000,13.81453154875717
Uttarakhand,1747.0,11755000,14.861760952786048
Uttar Pradesh,46052.0,238078000,19.343240450608622
West Bengal,13702.0,99563000,13.76214055422195
Andaman & Nicobar Islands,135.0,404000,33.41584158415842
Chandigarh,169.0,1243000,13.596138374899438
Dadra & Nagar Haveli and Daman & Diu,152.0,1356000,11.2094395280236
N.C.T of Delhi,5657.0,21752000,26.006803972048548
Jammu & Kashmir,5808.0,13701000,42.391066345522226
Ladakh,264.0,302000,87.41721854304636
Lakshadweep,0.0,69000,0.0
Puducherry,1431.0,1683000,85.02673796791444
