state,2020_accidents,2021_accidents,2022_accidents,2023_accidents,2024_accidents,five_year_average,change_2020_to_2024,percent_change_2020_to_2024
Andhra Pradesh,19509.0,21556.0,21249.0,19949.0,19557.0,20364.0,48.0,0.24604028909733971
Arunachal Pradesh,134.0,283.0,227.0,287.0,277.0,241.6,143.0,106.71641791044777
Assam,6595.0,7411.0,7023.0,7421.0,7848.0,7259.6,1253.0,18.99924184988628
Bihar,8639.0,9553.0,10801.0,11014.0,11610.0,10323.4,2971.0,34.39055446232203
Chhattisgarh,11656.0,12375.0,13279.0,13468.0,14857.0,13127.0,3201.0,27.462251201098148
Goa,2375.0,2849.0,3011.0,2846.0,2682.0,2752.6,307.0,12.926315789473684
Gujarat,13398.0,15186.0,15751.0,16349.0,15588.0,15254.4,2190.0,16.345723242274968
Haryana,9431.0,9933.0,10429.0,10463.0,9806.0,10012.4,375.0,3.976248542042201
Himachal Pradesh,2239.0,2404.0,2597.0,2253.0,2156.0,2329.8,-83.0,-3.707012058954891
Jharkhand,4405.0,4728.0,5175.0,5315.0,5196.0,4963.8,791.0,17.956867196367764
Karnataka,34178.0,34647.0,39762.0,43440.0,43062.0,39017.8,8884.0,25.99332904207385
Kerala,27877.0,33296.0,43910.0,48091.0,48834.0,40401.6,20957.0,75.1766689385515
Madhya Pradesh,45266.0,48877.0,54432.0,55327.0,56669.0,52114.2,11403.0,25.191092652321835
Maharashtra,24971.0,29477.0,33383.0,35243.0,36118.0,31838.4,11147.0,44.63978214729086
Manipur,432.0,366.0,508.0,398.0,299.0,400.6,-133.0,-30.787037037037035
Meghalaya,214.0,245.0,246.0,223.0,269.0,239.4,55.0,25.70093457943925
Mizoram,53.0,69.0,133.0,106.0,118.0,95.8,65.0,122.64150943396226
Nagaland,500.0,746.0,489.0,303.0,129.0,433.4,-371.0,-74.2
Odisha,9817.0,10983.0,11663.0,11992.0,12375.0,11366.0,2558.0,26.056840175206275
Punjab,5203.0,5871.0,6138.0,6269.0,6063.0,5908.8,860.0,16.528925619834713
Rajasthan,19114.0,20951.0,23614.0,24694.0,24838.0,22642.2,5724.0,29.946635973631892
Sikkim,138.0,155.0,211.0,182.0,149.0,167.0,11.0,7.971014492753622
Tamil Nadu,49844.0,55682.0,64105.0,67213.0,67526.0,60874.0,17682.0,35.47468100473477
Telangana,19172.0,21315.0,21619.0,22903.0,25986.0,22199.0,6814.0,35.54141456290424
Tripura,466.0,479.0,575.0,577.0,578.0,535.0,112.0,24.034334763948497
Uttarakhand,1041.0,1405.0,1674.0,1691.0,1747.0,1511.6,706.0,67.81940441882806
Uttar Pradesh,34243.0,37729.0,41746.0,44534.0,46052.0,40860.8,11809.0,34.485880325906024
West Bengal,10863.0,11937.0,13686.0,13795.0,13702.0,12796.6,2839.0,26.134585289514867
Andaman & Nicobar Islands,141.0,115.0,141.0,143.0,135.0,135.0,-6.0,-4.25531914893617
Chandigarh,159.0,208.0,237.0,182.0,169.0,191.0,10.0,6.289308176100629
Dadra & Nagar Haveli and Daman & Diu,100.0,140.0,196.0,182.0,152.0,154.0,52.0,52.0
Delhi,4178.0,4720.0,5652.0,5834.0,5657.0,5208.2,1479.0,35.399712781235046
J & K #,4860.0,5452.0,6092.0,6298.0,5808.0,5702.0,948.0,19.50617283950617
Lakshadweep,1.0,4.0,3.0,1.0,0.0,1.8,-1.0,-100.0
Puducherry,969.0,1049.0,1181.0,1308.0,1431.0,1187.6,462.0,47.6780185758514
