state,2024_accidents,2024_killed,population_2024,fatalities_per_100k_population,fatalities_per_100_accidents
Andhra Pradesh,19557.0,8346,53340000,15.64679415073116,42.675256941248655
Arunachal Pradesh,277.0,168,1576000,10.659898477157359,60.64981949458483
Assam,7848.0,3351,36047000,9.296196632174661,42.698776758409785
Bihar,11610.0,9347,128592000,7.268725892746049,80.50818260120586
Chhattisgarh,14857.0,6945,30524000,22.75258812737518,46.74564178501716
Goa,2682.0,286,1583000,18.0669614655717,10.663683818046234
Gujarat,15588.0,7717,72367000,10.663700305387815,49.50603027970234
Haryana,9806.0,4689,30573000,15.337062113629672,47.817662655517026
Himachal Pradesh,2156.0,869,7505000,11.578947368421051,40.30612244897959
Jharkhand,5196.0,4114,39963000,10.294522433250757,79.17628945342571
Karnataka,43062.0,12390,68115000,18.189826029508918,28.772467604848824
Kerala,48834.0,3880,35920000,10.801781737193764,7.945284023426301
Madhya Pradesh,56669.0,14791,87610000,16.88277593881977,26.100689971589404
Maharashtra,36118.0,15715,127360000,12.339038944723617,43.5101611384905
Manipur,299.0,72,3253000,2.2133415308945588,24.08026755852843
Meghalaya,269.0,197,3379000,5.830127256584788,73.23420074349443
Mizoram,118.0,110,1250000,8.799999999999999,93.22033898305084
Nagaland,129.0,62,2253000,2.7518863737239236,48.06201550387597
Odisha,12375.0,6142,44420000,13.827104907699233,49.63232323232323
Punjab,6063.0,4759,30926000,15.388346375218262,78.49249546429161
Rajasthan,24838.0,11790,81897000,14.396131726436865,47.46758998309043
Sikkim,149.0,67,695000,9.640287769784173,44.966442953020135
Tamil Nadu,67526.0,18449,77089000,23.93207850666113,27.32132808103545
Telangana,25986.0,7949,38272000,20.769753344481607,30.58954821827138
Tripura,578.0,226,4184000,5.401529636711281,39.10034602076124
Uttarakhand,1747.0,1090,11755000,9.272649936197363,62.39267315397825
Uttar Pradesh,46052.0,24118,238078000,10.130293433244567,52.37123251976027
West Bengal,13702.0,6676,99563000,6.7053021704850195,48.72281418770982
Andaman & Nicobar Islands,135.0,29,404000,7.1782178217821775,21.48148148148148
Chandigarh,169.0,75,1243000,6.033789219629928,44.37869822485207
N.C.T of Delhi,5657.0,1551,21752000,7.130378815741081,27.417359024217784
Jammu & Kashmir,5808.0,831,13701000,6.065250711626889,14.307851239669422
Ladakh,264.0,61,302000,20.198675496688743,23.106060606060606
Lakshadweep,0.0,0,69000,0.0,
Puducherry,1431.0,218,1683000,12.953060011883542,15.234102026554858
