state,2020_killed,2021_killed,2022_killed,2023_killed,2024_killed,fatality_years_available,five_year_average_fatalities,change_2020_to_2024,percent_change_2020_to_2024
Andhra Pradesh,7039.0,8186,8293,8137,8346,5,8000.2,1307.0,18.567978406023585
Arunachal Pradesh,73.0,157,148,145,168,5,138.2,95.0,130.13698630136986
Assam,2629.0,3036,2994,3296,3351,5,3061.2,722.0,27.462913655382277
Bihar,6699.0,7660,8898,8873,9347,5,8295.4,2648.0,39.528287804149876
Chhattisgarh,4606.0,5371,5834,6166,6945,5,5784.4,2339.0,50.78158923143725
Goa,223.0,226,271,290,286,5,259.2,63.0,28.251121076233183
Gujarat,6170.0,7452,7618,7854,7717,5,7362.2,1547.0,25.07293354943274
Haryana,4507.0,4706,4915,4968,4689,5,4757.0,182.0,4.038162857776792
Himachal Pradesh,893.0,1052,1032,889,869,5,947.0,-24.0,-2.6875699888017914
Jharkhand,3044.0,3513,3898,4173,4114,5,3748.4,1070.0,35.15111695137976
Karnataka,9760.0,10038,11702,12321,12390,5,11242.2,2630.0,26.946721311475407
Kerala,2979.0,3429,4317,4080,3880,5,3737.0,901.0,30.245048674051695
Madhya Pradesh,11141.0,12057,13427,13798,14791,5,13042.8,3650.0,32.76187056817162
Maharashtra,11569.0,13528,15224,15366,15715,5,14280.4,4146.0,35.837151007001474
Manipur,127.0,110,127,73,72,5,101.8,-55.0,-43.30708661417323
Meghalaya,144.0,187,162,168,197,5,171.6,53.0,36.80555555555556
Mizoram,42.0,56,113,96,110,5,83.4,68.0,161.9047619047619
Nagaland,53.0,55,73,86,62,5,65.8,9.0,16.9811320754717
Odisha,4738.0,5081,5467,5739,6142,5,5433.4,1404.0,29.632756437315322
Punjab,3898.0,4589,4756,4829,4759,5,4566.2,861.0,22.088250384812724
Rajasthan,9250.0,10043,11104,11762,11790,5,10789.8,2540.0,27.459459459459463
Sikkim,47.0,56,92,57,67,5,63.8,20.0,42.5531914893617
Tamil Nadu,14527.0,15384,17884,18347,18449,5,16918.2,3922.0,26.998003717216218
Telangana,6882.0,7557,7559,7660,7949,5,7521.4,1067.0,15.504213891310664
Tripura,192.0,194,241,261,226,5,222.8,34.0,17.708333333333336
Uttarakhand,674.0,820,1042,1054,1090,5,936.0,416.0,61.72106824925816
Uttar Pradesh,19149.0,21227,22595,23652,24118,5,22148.2,4969.0,25.94913572510314
West Bengal,5128.0,5800,6002,6027,6676,5,5926.6,1548.0,30.187207488299535
Andaman & Nicobar Islands,14.0,20,19,24,29,5,21.2,15.0,107.14285714285714
Chandigarh,53.0,96,83,67,75,5,74.8,22.0,41.509433962264154
Dadra & Nagar Haveli and Daman & Diu,64.0,76,90,74,95,5,79.8,31.0,48.4375
Delhi,1196.0,1239,1461,1457,1551,5,1380.8,355.0,29.68227424749164
J & K #,728.0,774,805,893,831,5,806.2,103.0,14.148351648351648
Ladakh,,56,62,59,61,4,59.5,,
Lakshadweep,0.0,1,2,0,0,5,0.6,0.0,
Puducherry,145.0,140,181,149,218,5,166.6,73.0,50.3448275862069
