state,population_2024_thousands,population_2024
Andhra Pradesh,53340,53340000
Arunachal Pradesh,1576,1576000
Assam,36047,36047000
Bihar,128592,128592000
Chhattisgarh,30524,30524000
Goa,1583,1583000
Gujarat,72367,72367000
Haryana,30573,30573000
Himachal Pradesh,7505,7505000
Jammu & Kashmir,13701,13701000
Jharkhand,39963,39963000
Karnataka,68115,68115000
Kerala,35920,35920000
Madhya Pradesh,87610,87610000
Maharashtra,127360,127360000
Manipur,3253,3253000
Meghalaya,3379,3379000
Mizoram,1250,1250000
Nagaland,2253,2253000
Odisha,44420,44420000
Punjab,30926,30926000
Rajasthan,81897,81897000
Sikkim,695,695000
Tamil Nadu,77089,77089000
Telangana,38272,38272000
Tripura,4184,4184000
Uttar Pradesh,238078,238078000
Uttarakhand,11755,11755000
West Bengal,99563,99563000
Andaman & Nicobar Islands,404,404000
Chandigarh,1243,1243000
Dadra & Nagar Haveli,745,745000
Daman & Diu,611,611000
N.C.T of Delhi,21752,21752000
Lakshadweep,69,69000
Puducherry,1683,1683000
Ladakh,302,302000
