sl_no,state,2020_accidents,2021_accidents,2022_accidents,2023_accidents,2024_accidents,change_from_2023_to_2024,percent_change_from_2023_to_2024,2020_ranking,2021_ranking,2022_ranking,2023_ranking,2024_ranking
1,Andhra Pradesh,19509,21556,21249,19949,19557,-392,-2.0,7.0,7.0,9.0,9.0,9.0
2,Arunachal Pradesh,134,283,227,287,277,-10,-3.5,32.0,28.0,31.0,29.0,27.0
3,Assam,6595,7411,7023,7421,7848,427,5.8,16.0,16.0,16.0,16.0,16.0
4,Bihar,8639,9553,10801,11014,11610,596,5.4,15.0,15.0,14.0,14.0,14.0
5,Chhattisgarh,11656,12375,13279,13468,14857,1389,10.3,11.0,11.0,12.0,12.0,11.0
6,Goa,2375,2849,3011,2846,2682,-164,-5.8,21.0,21.0,21.0,21.0,21.0
7,Gujarat,13398,15186,15751,16349,15588,-761,-4.7,10.0,10.0,10.0,10.0,10.0
8,Haryana,9431,9933,10429,10463,9806,-657,-6.3,14.0,14.0,15.0,15.0,15.0
9,Himachal Pradesh,2239,2404,2597,2253,2156,-97,-4.3,22.0,22.0,22.0,22.0,22.0
10,Jharkhand,4405,4728,5175,5315,5196,-119,-2.2,19.0,19.0,20.0,20.0,20.0
11,Karnataka,34178,34647,39762,43440,43062,-378,-0.9,4.0,4.0,5.0,5.0,5.0
12,Kerala,27877,33296,43910,48091,48834,743,1.5,5.0,5.0,3.0,3.0,
13,Madhya Pradesh,45266,48877,54432,55327,56669,1342,2.4,2.0,2.0,2.0,2.0,2.0
14,Maharashtra,24971,29477,33383,35243,36118,875,2.5,6.0,6.0,6.0,6.0,6.0
15,Manipur,432,366,508,398,299,-99,-24.9,27.0,27.0,26.0,26.0,26.0
16,Meghalaya,214,245,246,223,269,46,20.6,28.0,29.0,29.0,30.0,28.0
17,Mizoram,53,69,133,106,118,12,11.3,34.0,35.0,35.0,35.0,35.0
18,Nagaland,500,746,489,303,129,-174,-57.4,25.0,25.0,27.0,27.0,34.0
19,Odisha,9817,10983,11663,11992,12375,383,3.2,13.0,13.0,13.0,13.0,13.0
20,Punjab,5203,5871,6138,6269,6063,-206,-3.3,17.0,17.0,17.0,18.0,17.0
21,Rajasthan,19114,20951,23614,24694,24838,144,0.6,9.0,9.0,7.0,7.0,8.0
22,Sikkim,138,155,211,182,149,-33,-18.1,31.0,32.0,32.0,31.0,32.0
23,Tamil Nadu,49844,55682,64105,67213,67526,313,0.5,1.0,1.0,1.0,1.0,
24,Telangana,19172,21315,21619,22903,25986,3083,13.5,8.0,8.0,8.0,8.0,7.0
25,Tripura,466,479,575,577,578,1,0.2,26.0,26.0,25.0,25.0,25.0
26,Uttarakhand,1041,1405,1674,1691,1747,56,3.3,23.0,23.0,23.0,23.0,23.0
27,Uttar Pradesh,34243,37729,41746,44534,46052,1518,3.4,3.0,3.0,4.0,4.0,4.0
28,West Bengal,10863,11937,13686,13795,13702,-93,-0.7,12.0,12.0,11.0,11.0,12.0
29,Andaman & Nicobar Islands,141,115,141,143,135,-8,-5.6,30.0,34.0,34.0,34.0,33.0
30,Chandigarh,159,208,237,182,169,-13,-7.1,29.0,31.0,30.0,31.0,30.0
31,Dadra & Nagar Haveli and Daman & Diu,100,140,196,182,152,-30,-16.5,33.0,33.0,33.0,31.0,31.0
32,Delhi,4178,4720,5652,5834,5657,-177,-3.0,20.0,20.0,19.0,19.0,19.0
33,J & K #,4860,5452,6092,6298,5808,-490,-7.8,18.0,18.0,18.0,17.0,18.0
34,Ladakh,,236,374,289,264,-25,-8.7,,,28.0,28.0,29.0
35,Lakshadweep,1,4,3,1,0,-1,-100.0,35.0,36.0,36.0,36.0,36.0
36,Puducherry,969,1049,1181,1308,1431,123,9.4,24.0,24.0,24.0,24.0,24.0
,All India,372181,412432,461312,480583,487707,7124,1.5,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
