sl_no,state,2020_killed,2021_killed,2022_killed,2023_killed,2024_killed,percent_change_from_2023_to_2024,2020_ranking,2021_ranking,2022_ranking,2023_ranking,2024_ranking
1,Andhra Pradesh,7039,8186,8293,8137,8346,2.57,7.0,7.0,8.0,8.0,8.0
2,Arunachal Pradesh,73,157,148,145,168,15.86,28.0,26.0,27.0,27.0,27.0
3,Assam,2629,3036,2994,3296,3351,1.67,18.0,18.0,18.0,18.0,18.0
4,Bihar,6699,7660,8898,8873,9347,5.34,9.0,8.0,7.0,7.0,7.0
5,Chhattisgarh,4606,5371,5834,6166,6945,12.63,13.0,12.0,12.0,11.0,11.0
6,Goa,223,226,271,290,286,-1.28,23.0,23.0,23.0,23.0,23.0
7,Gujarat,6170,7452,7618,7854,7717,-1.74,10.0,10.0,9.0,9.0,10.0
8,Haryana,4507,4706,4915,4968,4689,-5.62,14.0,14.0,14.0,14.0,15.0
9,Himachal Pradesh,893,1052,1032,889,869,-2.25,20.0,20.0,21.0,22.0,21.0
10,Jharkhand,3044,3513,3898,4173,4114,-1.41,16.0,16.0,17.0,16.0,16.0
11,Karnataka,9760,10038,11702,12321,12390,0.56,5.0,6.0,5.0,5.0,5.0
12,Kerala,2979,3429,4317,4080,3880,-4.9,17.0,17.0,16.0,17.0,17.0
13,Madhya Pradesh,11141,12057,13427,13798,14791,7.2,4.0,4.0,4.0,4.0,4.0
14,Maharashtra,11569,13528,15224,15366,15715,2.27,3.0,3.0,3.0,3.0,3.0
15,Manipur,127,110,127,73,72,-1.37,27.0,28.0,28.0,31.0,31.0
16,Meghalaya,144,187,162,168,197,17.26,26.0,25.0,26.0,25.0,26.0
17,Mizoram,42,56,113,96,110,14.58,33.0,31.0,29.0,28.0,28.0
18,Nagaland,53,55,73,86,62,-27.91,30.0,34.0,33.0,29.0,33.0
19,Odisha,4738,5081,5467,5739,6142,7.02,12.0,13.0,13.0,13.0,13.0
20,Punjab,3898,4589,4756,4829,4759,-1.45,15.0,15.0,15.0,15.0,14.0
21,Rajasthan,9250,10043,11104,11762,11790,0.24,6.0,5.0,6.0,6.0,6.0
22,Sikkim,47,56,92,57,67,17.54,32.0,31.0,30.0,34.0,32.0
23,Tamil Nadu,14527,15384,17884,18347,18449,0.56,2.0,2.0,2.0,2.0,2.0
24,Telangana,6882,7557,7559,7660,7949,3.77,8.0,9.0,10.0,10.0,9.0
25,Tripura,192,194,241,261,226,-13.41,24.0,24.0,24.0,24.0,24.0
26,Uttarakhand,674,820,1042,1054,1090,3.42,22.0,21.0,20.0,20.0,20.0
27,Uttar Pradesh,19149,21227,22595,23652,24118,1.97,1.0,1.0,1.0,1.0,1.0
28,West Bengal,5128,5800,6002,6027,6676,10.77,11.0,11.0,11.0,12.0,12.0
29,Andaman & Nicobar Islands,14,20,19,24,29,20.83,34.0,35.0,35.0,35.0,35.0
30,Chandigarh,53,96,83,67,75,11.94,30.0,29.0,32.0,32.0,30.0
31,Dadra & Nagar Haveli and Daman & Diu,64,76,90,74,95,28.38,29.0,30.0,31.0,30.0,29.0
32,Delhi,1196,1239,1461,1457,1551,6.45,19.0,19.0,19.0,19.0,19.0
33,J & K #,728,774,805,893,831,-6.94,21.0,22.0,22.0,21.0,22.0
34,Ladakh,,56,62,59,61,3.39,,,34.0,33.0,34.0
35,Lakshadweep,0,1,2,0,0,0.0,35.0,36.0,36.0,36.0,36.0
36,Puducherry,145,140,181,149,218,46.31,25.0,27.0,25.0,26.0,25.0
