state,population_2011,area_sq_km_2011,population_density_2011
Andaman & Nicobar Islands,380581,8249,46.136622620923745
Andhra Pradesh,84580777,275045,307.5161409951099
Arunachal Pradesh,1383727,83743,16.52349450103292
Assam,31205576,78438,397.837476733216
Bihar,104099452,94163,1105.5239531450782
Chandigarh,1055450,114,9258.333333333334
Chhattisgarh,25545198,135192,188.9549529557962
Dadra & Nagar Haveli and Daman & Diu,586956,602,975.0099667774086
Goa,1458545,3702,393.9883846569422
Gujarat,60439692,196244,307.98236888771123
Haryana,25351462,44212,573.4068126300552
Himachal Pradesh,6864602,55673,123.30217520162377
Jammu & Kashmir,12541302,222236,56.43236019366799
Jharkhand,32988134,79716,413.8207386221085
Karnataka,61095297,191791,318.5514283777654
Kerala,33406061,38852,859.8286059919695
Lakshadweep,64473,30,2149.1
Madhya Pradesh,72626809,308252,235.60855728429985
Maharashtra,112374333,307713,365.1920230864474
Manipur,2855794,22327,127.90764545169526
Meghalaya,2966889,22429,132.27914753221276
Mizoram,1097206,21081,52.04715146340306
N.C.T of Delhi,16787941,1483,11320.256911665543
Nagaland,1978502,16579,119.3378370227396
Odisha,41974218,155707,269.57181115813677
Puducherry,1247953,490,2546.842857142857
Punjab,27743338,50362,550.8784003812398
Rajasthan,68548437,342239,200.29405473952414
Sikkim,610577,7096,86.04523675310034
Tamil Nadu,72147030,130060,554.7211287098262
Tripura,3673917,10486,350.3640091550639
Uttar Pradesh,199812341,240928,829.3446216296985
Uttarakhand,10086292,53483,188.58874782641212
West Bengal,91276115,88752,1028.440091490896
