state,2020_accidents,2021_accidents,2022_accidents,2023_accidents,2024_accidents,2020_killed,2021_killed,2022_killed,2023_killed,2024_killed,population_2024,accidents_per_100k_population,fatalities_per_100k_population,fatalities_per_100_accidents,five_year_average_accidents,five_year_average_fatalities,fatality_years_available,accident_change_2020_to_2024,accident_percent_change_2020_to_2024,fatality_change_2020_to_2024,fatality_percent_change_2020_to_2024,accident_rank_2024,fatality_rank_2024,accident_rate_rank_2024,fatality_rate_rank_2024,vehicle_registrations_2024,vehicles_per_1000_population
Andhra Pradesh,19509.0,21556.0,21249.0,19949.0,19557.0,7039.0,8186,8293,8137,8346,53340000,36.66479190101238,15.64679415073116,42.675256941248655,20364.0,8000.2,5,48.0,0.2460402890973397,1307.0,18.567978406023585,9.0,8.0,11.0,8.0,911747,17.093119610048745
Arunachal Pradesh,134.0,283.0,227.0,287.0,277.0,73.0,157,148,145,168,1576000,17.576142131979694,10.65989847715736,60.64981949458483,241.6,138.2,5,143.0,106.71641791044776,95.0,130.13698630136986,27.0,27.0,24.0,18.0,36796,23.34771573604061
Assam,6595.0,7411.0,7023.0,7421.0,7848.0,2629.0,3036,2994,3296,3351,36047000,21.771575998002607,9.29619663217466,42.698776758409785,7259.6,3061.2,5,1253.0,18.99924184988628,722.0,27.46291365538228,16.0,18.0,19.0,22.0,629458,17.462146641884207
Bihar,8639.0,9553.0,10801.0,11014.0,11610.0,6699.0,7660,8898,8873,9347,128592000,9.028555431131018,7.268725892746049,80.50818260120586,10323.4,8295.4,5,2971.0,34.39055446232203,2648.0,39.52828780414988,14.0,7.0,33.0,25.0,1395212,10.849912902824437
Chhattisgarh,11656.0,12375.0,13279.0,13468.0,14857.0,4606.0,5371,5834,6166,6945,30524000,48.67317520639497,22.75258812737518,46.74564178501716,13127.0,5784.4,5,3201.0,27.462251201098148,2339.0,50.78158923143725,11.0,11.0,9.0,2.0,714000,23.391429694666492
Goa,2375.0,2849.0,3011.0,2846.0,2682.0,223.0,226,271,290,286,1583000,169.42514213518635,18.0669614655717,10.663683818046234,2752.6,259.2,5,307.0,12.926315789473684,63.0,28.251121076233183,21.0,23.0,1.0,6.0,84300,53.253316487681616
Gujarat,13398.0,15186.0,15751.0,16349.0,15588.0,6170.0,7452,7618,7854,7717,72367000,21.540204789475865,10.663700305387817,49.50603027970234,15254.4,7362.2,5,2190.0,16.345723242274968,1547.0,25.07293354943274,10.0,10.0,20.0,17.0,1899370,26.24635538297843
Haryana,9431.0,9933.0,10429.0,10463.0,9806.0,4507.0,4706,4915,4968,4689,30573000,32.07405226834135,15.337062113629672,47.81766265551703,10012.4,4757.0,5,375.0,3.976248542042201,182.0,4.038162857776792,15.0,15.0,13.0,10.0,996158,32.58293265299447
Himachal Pradesh,2239.0,2404.0,2597.0,2253.0,2156.0,893.0,1052,1032,889,869,7505000,28.72751499000666,11.578947368421051,40.30612244897959,2329.8,947.0,5,-83.0,-3.707012058954891,-24.0,-2.6875699888017914,22.0,21.0,15.0,15.0,147735,19.68487674883411
Jharkhand,4405.0,4728.0,5175.0,5315.0,5196.0,3044.0,3513,3898,4173,4114,39963000,13.002026874859244,10.294522433250757,79.17628945342571,4963.8,3748.4,5,791.0,17.956867196367764,1070.0,35.15111695137976,20.0,16.0,29.0,19.0,579217,14.493831794409829
