"State Wise Data for AN, AP, AR, AS, BR, CH, CG, DL, GA, GJ, HR, HP, JK, JH, KA, KL, LA, LD, MP, MH, MN, ML, MZ, NL, OR, PY, PB, RJ, SK, TN, TG, TR, DD, UP, UK, WB (2024)"\n\nState,Total Consolidated
Andaman & Nicobar Island,8460
Andhra Pradesh,911747
Arunachal Pradesh,36796
Assam,629458
Bihar,1395212
Chandigarh,46398
Chhattisgarh,714000
Delhi,711069
Goa,84300
Gujarat,1899370
Haryana,996158
Himachal Pradesh,147735
Jammu and Kashmir,179387
Jharkhand,579217
Karnataka,1888020
Kerala,779382
Ladakh,5437
Lakshadweep,576
Madhya Pradesh,1667653
Maharashtra,2887334
Manipur,28091
Meghalaya,42346
Mizoram,29989
Nagaland,27679
Odisha,810893
Puducherry,65458
Punjab,705747
Rajasthan,1653718
Sikkim,11671
Tamil Nadu,1953405
Telangana,1026491
Tripura,63665
UT of DNH and DD,24202
Uttar Pradesh,3757843
Uttarakhand,281788
West Bengal,1184916
Total,27235611
